text,label
Indian Hindus hv to stop crying about Muslims in india being Hindu once. Muslims don't give a damn about this. Hindus look meek and stupid repeating this Reality: Muslims r Muslims w/ one focus: how to make India a Muslim country. Like it or not learn to Deal with it. Got it?,conflictual
"So, rapid tests in hand, we set off for 2 days in Ohio, leaving B, Riley & G at home. It did not go well. B spent every evening yelling. I'm on the phone with G, all, 'the sedatives are in the yellow bottle, start with 1'.",none
"The problem with that for me is that I get extremely anxious so I get distracted because of my adhd, and then I get depressed because I can't get my job done, and I'm supposed to be able to communicate in that state WITH my selective mutism.",none
"@user  Hey, I would be more than happy to draw/design something epic similar to demon slayer and make your webcomic amazing. Let's DM",spam
"in their fight to come back to him. [ He knocks Cheska's' swan helmet away as a final blow which reveals Cheska's' true identity, also triggering the first memory on Cederick's' part ]",none
My stomach is such a moody bitch ðŸ˜©,profanity
Why is there not a dick in him!! Why is he not being called a baby boy and spanked and fucked stupid!! He is MADE for it,profanity
@mcuban  And you advocated for a candidate who wants the government to do more of all of that. Like that will work. Either you're an intentional fucking troll on this platform or you're a fucking moron outside your circle of expertise. Perhaps both.,profanity
"if you can't take what you've done and grow from it, how will you ever live? how can you understand your loved ones if you refuse to let them live? is restricting free will a form of evil? or is it just being an asshole?",profanity
"@user  there's a whole bunch of little things that causes burst numbers to differ greatly but i',''ll' just do a quick crit rundown -- the 40-50k are crit hits, 24-27k normal scaled burst dmg, 10-12k likely just unlucky chance maybe due to bad timing or reactions not triggering properly",none
"All I'll' say is this, nobody's' ancestors are calling out for you. Your'ancestors'' are in your DNA. We need to stop romanticising things on this planet or creating false positives just because we have an emotional reaction to things",conflictual
"hey teacher how about you shut the fuck up and stop guilt tripping us, we have depression specifically from school and the pressure hurts us menta, ly and sometimes even physically, you don't do shit when it come to bullying sure, its a diverse and lgbtqia friendly school but",profanity
@ChuckGrassley  So are you applauding or condemning US Customs & Border Control for getting a ðŸ’©ton of fentanyl off of our streets?? Please explain. WTAF?!,profanity
I plan on cumming tonight to a triple digit send. who's gon na be the lucky sub to make it happen?! â€¢ findom foot feet booty worship â€¢,sec
"âš˜I think i'm just going to drop everything and stop rping. It only gets me depressed, frustrated, stressed and just angry in some cases. It's no longer any fun for me, aside from one ongoing one, but i just don't feel like rping anymore honestly.",none
"Agricultural cess applied on several goods including a 100 % cess on alcohol, 2.5 % on gold & silver bars, 17.5 % on crude palm oil, 20 % on crude soyabean, sunflower oil, 35 % on apples & 40 % on peas.",none
@user  Did Samui slip Imu her strap-on while she was sleeping? How is she even mounting her otherwise?,sec
@WorldOfWonder  @theelliottqueen  I love this lady. I've struggled with depression and anxiety and she laid it out there. I have had people misunderstand me too and people don't always get or like me. She has truly inspired me. I look up to it so thank you @theelliottqueen  ðŸ˜­ â¤ï¸ðŸ’œ,none
let's just put everyone on lexapro. we can even make it into gummies,drugs
@user  I don't eat shark and don't support it. Look it up. Sharks store toxins in their flesh. It has to be treated for more than a year to be made safe for consumption.,none
"@Breaking911  Now take out the bridge to Canada, 100 mil for CA railway and the rest of the pet projects",none
"@user  'Fuck... You are irresistible...' Eivor muttered as she knelt and grabbed Mia's' ankles, pushing her legs back towards her head to get a deeper angle. The Viking's' cock seemed to be getting thicker, suggesting that she might be closer than she'd' admitted.",profanity
"Damn kinda nervous but also fuckinng stoked to be opening the main stage at holy ship tomorrow. Might go hard in the paint, might get groovy idk but you should pull up ðŸŒ¶ ðŸŒ´",profanity
"@user  @user  Who asks these faux naive fukn questions? Too focused on revenue? Like, they were corrupt AF and blatantly breaking the law. LETS HAVE SOME ACCOUNTABILITY. JAIL TIME!!! @user  @TI_Canada",conflictual
omg I'm sorry I forgot the credits Â© to cheolsdaisy,none
@user  One time he did it and it got more likes then retweets and I was pisssed,none
"@user  I wouldn't worry. That part of the newsletter is just people he personally has time for (& some are, IMHO, bellends) & people he personally doesn't. Room 101 style. All subjective. I wouldn't give it a second's' thought, apart from thinking it's good to be thought about.",conflictual
"@user  @user... I have' n't' been able to dig into movies like I used to. I would watch certain films multiple times to analyze. But now, when I try, I feel like what little spare time I have is precious, and I need to be doing something other than watching a movie I already saw. 2/3",none
wanted to get rid of it in my bio so im just gon na write my goals here: sw: 61kg // cw: 56kg // gw 1: 55kg // gw 2: 50kg // gw 3: 48kg // ugw: 45kg // 15 // thinspo // meanspo// no fatspo,none
"Do not come at about dissing other parties. I have no problem with republicans, my problem is with Trump supporters. There is a difference you fucking dumbasses.",conflictual
@urbancompany_UC  @abhirajbhal  @user  @user  @user  @user  Worst services and a bunch of lies... my email addrss is deeps.bharate @gmail.com... I was promised call back n cash back. no help... they only cheat u n gv false information... they cheat u with cashback offers their customer service team is so rude n refuse to help..,conflictual
This year was a race for achieving identity.... But I failed.... But I won my self back... I m a stronger version now... I m more focused... Less confused.... Less dependent... And still holding belief in me... I worked on me mentally physically emotionally....,none
"@user  Yeah.. or we've had a long time to do it, but it's some hard long questions, not just yes or no, like it's fucked! I'm already at 7 pages and almost 2500 wordsðŸ˜‘",profanity
"@SteveBakerHW  @BorisJohnson  Well, Steve, looks like most people have seen through you. Massive sense of self-importance mixed with a level of amorality which beggars belief. And you can't even crawl your way into the most inept Cabinet in living memory? Crawl back into ignominious anonymity, creep.",conflictual
Kim Jennie deserves better. She's a victim of stalking. It's no secret that idols ' privacy and personal life are not respected. Dispatch has a special section in hell all for themselves. They put artists through a lot. They are disgusting motherfuckers.,profanity
"@user  @user  Most of the time, Marshallese parents think suicide and depression isn't real.",none
Every dating site has failed. Nobody showed any interest in me in college. I feel like i shouldn't be super ugly but like the evidence that I am is big,none
"@user  @user  He has had loads of success, but ends up getting sacked from everywhere after letting it all turn to shit.",profanity
"@user  I take 2 different kinds, I have been on antidepressants for years. I have suffered from severe anxiety and depression since the age of 10. They do help me, I still get very low at times, especially because of my poor health and losing my husband. X",none
the way i was obsessed w btr and i thought i was so different cause everyone else was obsessed w 1d ðŸ˜­ i used to fight ppl over this on twt but i still stand by the fact btr was better to this day ðŸ˜Œ,none
@user  In TN first day shows of big heroes are like festivel. Stupid fans will come in thousands to theatre. Govt cant regulate the crowd. This is a suicide attempt,conflictual
"@user  @oliverbrown_tel  This is the one and only reason, see how much media was involved on global level to make Novak the bad guy. However, not all people are that stupid RioTinto, and guess what Karma is a bitch! All you involved will feel this, sooner or laterâ€¦.",profanity
@user  question: Is Trump guilty for the death of 4 persons during the raid on the Capitol??,none
@user  Yes! Two bowls of cereal a day and one â€˜ healthy ' meal. I tried it when I was still in the grip of disordered eating and I was so hungry I only lasted two days (also my friend told me to sort myself out and eat real food for lunch).,self-harm
@user  basically summer always trauma dumps on their tl n say they wan na k! ll themselves n also used their backup to pretend to b someone else n text someone they like to talk shit about themself to see if the person they like would b loyal or not or smth,conflictual
"This fallðŸ is strictly about getting more $ $, staying UP mentally emotionally physically n spiritually, & being happy! & continuously Working towards a better version of oldself",none
"@user  My training workshop suggested silence kills. Its interesting to ask how platform might matter. Another interesting fact is a failed attempt' does't' reduce the chance of another. If a friend is depressed & you're concerned, don't be afraid to ask if they've' thought about suicide.",none
"@user  @JackPosobiec  @FlyFrontier  I'll complete that sentence for you: fueled by lack of morals and decency, heavy doses of evil, and compounded by severe mental illness.",conflictual
"this is my daily depressing tweets: TODAY i listen to champagne problems eight times coz once isn't painful enough,",none
"In any just world this government would be on trial for the way they've handled this pandemic. Johnson, Sunak, Williamson and Hancock all culpable in the deaths of 70k+ dead.",none
@JuddLegum  They didn't want to convict him the first time for the exact opposite reason.,none
"Maybe it's just my kink, but... BLONDES AND GINGERS, stop shaving your pubes off, please!!!",none
Hope your using wipes for that assss,profanity
@JLPtalk  Politicians don't understand how detrimental their sick political games are and how it affects the American people's mental health. It's been nothing but anxiety and depression for what seems like forever now. They just make it worse! They think it's funny & cute but it's not!,none
"them another. I do want to discuss, as a nonbinary black person who presents in both masc and femme ways, as a darker skinned black nonbinary person why I myself was kind of hurt by that portrayal without giving those transphobic, antiblack people validation because they don't",none
@user  You have no idea what a collective is capable of. Self absorbed small minded gimps like you is why they win.,conflictual
saving thinspo on my phone always makes me nervous bc what if my parents suddenly spring a phone check on me theres no way i can explain it,none
"@user  Its so dumb because that isn't a new or original idea. There are literally 100s of quotes that express the same sentiment said by people who are','n't' racist, bigoted, or misogynistic. Peterson gives an academic veneer to terrible fucking ideas. Dumb person's smart man.",conflictual
@user  @Independent  I was feeling guilty laughing at the headline and assuming he must have been an abusive arsehole. Anyway someone died & that's mostly not good.,profanity
"@user  @user  I do quite like the wee island map though for speed of games. Big warzone is just the case of land and if you survive - loot, move on and get smashed by some sweaty cunts.",profanity
"BREAKING: AstraZeneca's US Phase III trial finds',''no' increased risk of thrombosis','''",none
@user  YEAH I think the arc with the scary platoon is around episode 100 maybe??? I don't remember if I actually chronologically watched all the way up to it or not bc I watched on youtube and skipped around sometimes but I watched that specific arc over and over,none
"@user  Mussolini had to be made to bathe, change his clothes, and brush his teeth. Hitler lived on uppers and downers. DJT has to be told when he shits his pants.",conflictual
@user  @user  lmaoo ik ur not a weirdo,none
who else remembers that show about the creator of nasty gal vintage??? It was actually really fucking good and it was for the girls in their 20s which we know we don't get to see often.,profanity
Probably Thomas is out there depressed and lonely.,none
How can you just give such little regard for the lives of trans people like that? I'm honestly in awe of the heartlessness of those bastards. I hope they rot.,conflictual
"If you are like me and the holidays are a rough time for you, that is okay, you are loved, you are not alone, and there is light at the end of the tunnel. If you are experiencing suicidal thoughts, please call: Canada: 833-456-4566 US: 1-800-273-8255",none
@user  Laughing about it is a survival mechanism. Otherwise we would all be suicidal.,self-harm
"Just took an 100mg edible, turned on the new season of Selling Sunset, and waiting on my Doordash, this Thanksgiving is' n't' the worst. Happy Thanksgiving' y'all' â¤",drugs
"my grandma was looking at my backpack funny today, and then I realized she was staring at my cumslut flight tag (â€¢Íˆá´—â€¢Íˆ)",profanity
tl is so fcking depressing i think its time for me to do the laundry lmao,profanity
@user  @user  @HEBobiwine  @KagutaMuseveni  We the Ugandans that love this country no one included you the coward idiots no need to get angry,conflictual
@user  @user  @user  Ruled out a dodgy batch of tabs or something similar? People over there sell bath salts as mdma all the time...,drugs
"@user  @user  @user  @user  @user  Oh dear oh dear. NUST are trying to do things in the right manner. tfNUFC send a rather sharp tweet with little thought and the skies falling down?! The situation at NUFC is highly emotive, surely the time to get over egos and look at the big picture",none
@user  @user  @DrSarahWakeman  @user  @maiasz  @user  We don't call people dependant on their antidepressants addicted to themâ€¦ even when removal of the meds from their system causes withdrawal and other adverse reactions. But as soon as someone is on an opioidâ€¦ one slip and we're dirty junkie addicts. Make it make senseðŸ™ƒ,none
"Why? Do I look like a fan of the artists who debuted at No1 on the Billboard Album200 & Hot100, right after Grammy-nominated, Billboard No1 three times and the first non-English act of No1 IFPI's Global Artist like world domination, I mean Grammy solo stage performer @BTS_twt",none
@marcomendicino  Very wise thoughts Mr. Minister.We approved COPRExpired are more than happy to help you execute this idea.Pls grant us COPRExtension to help land & boost Canadian economy. Post mar 18 approved COPRExpired holders have been barred to land from day 1.appealing for AL desperately,none
Honestly... I kind of just want to study mycology and just live life off of mushrooms and game. mycology wildlife wildivan whoisin mushrooms psychedelics free,none
"We're' hiring in GlenBurnie, MD! Click the link in our bio to apply to this job and more: Field Diesel Mechanic-CES at United Rentals Transportation",none
"@user  Is anyone else uncomfortable @Keir_Starmer  'I kick out anyone who breaks the rules' PMQs has changed rules on Antisemitism & Harassment, kicking out more Jews than any Labour Leader for most trivial offences Authoritarian & also sinisterâ€¦what is his endgame? â€¦Scary party now.",conflictual
"and condemning the described practices, making it felony, redressing victims, and eliminating the lawlessness - or suck the mighty dick of another 9/11 and lick the fiery balls of another route 91 harvest, be cummed upon by another wrecking katrina 7/",profanity
"@user  [ Akira's knees hit the floor with an obedient thud. She hadn't perceived the exchange as a competition, so victory and defeat hardly mattered. Plump lips eagerly parted, and as she drank in the image of a nude idol, her hands started groping about near her pussy. Even the -",sec
"@user  @BreitbartNews  Yet, for 4 years, Democrats claimed the 2016 was stolen by Russians. That was a lie.",none
"@user  He moans with Sam, as well deepen their kiss more. His heart beats lust and fast while loving Sam doing to him, and wanting him more. He then moaned again in a very cute and pleasurable way as he feel his soft feminine nipples pinched, making his cock throbbing even more.",sec
"Lately I've been feeling very depressed, I lost all my friends so it's been lonely, and I found that they really make me happy, just by watching random videos. I mean.. they are a family, they have fun, they are kind to each other, they help each other, and even when they're sad",none
First and foremost I am a bullshitter,profanity
@user  @user  @user  @user  @user  I want to see this presentation! This screams my name!,none
@user  @user  @MarkDice  They should be shot and their families sent the bill for the bullets. Their families bank accounts should be emptied all possessions sold and the money be given to the family of the murdered man,conflictual
Yall need to tw weight and body image more bc: / yikes saw sthn rrly triggering and im not vibing,none
"and I changed a lot? for the best... I think? learned how to be more true to myself, to get away from people who were harming me. to set my path and keep on it. to be happy with myself",none
"@user  @user  @user  It doesn't affect her parnassah. & some Jews honestly don't care. My husband thinks the whole 'Christians having seder','''' phenomenon is cute. They want to be us because we're cooler, but they don't really get it. Picture little kids putting on their parents shoes & feeling big.",none
@user  @AirCanada  @hollyrpeete  I am a US citizen but word on the street says Canada has a whole new brand of racism. That don't ask don't tell racism. The one that supposedly doesn't exist even though the survey says...,conflictual
"@user  @user  @user  @user  Viral triggering in Denmark - very complex, but nothing to do with CCP lockdown non-science",none
@user  half of solo army twt has me blocked bc of that lmao,none
"@user  @petercoffin  @user  I acknowledge edge cases. I am not advocating for the removal of animals from the diet of people who require them. I am speaking of the vast majority who with contemporary agriculture can more efficiently feed people with crops, yeasts and the like.",none
"@user  This is so likely since I believe Rei stopped being able to see Shouto after Touya had passed, which leads me to believe it was triggering for her to have memoria of Touya ðŸ’”",none
"@GKuhlenschmidt  @KamalaHarris  @Converse  Yeah. Way to promote 'unity.','''' Great job, you insipid twatwaffle. See this @user",conflictual
"@user  @user  @RaheemKassam  Capitalists want money while communists want supremacy. Communists will win. They already bought US media, US judiciary, US universities & US democrats. It's just a matterof time when US slides down to No.2",conflictual
"so always tattoos, piercing and cutting your hair is a form of self harm? ðŸ˜¯",none
@user  Where are the screens or boots? Seems obvious against this penetration.,sec
@user  Just hope they don't fuk up with chainsaw man and release weekly episodes!,profanity
@bernybelvedere  Fauci is guilty of war crimes. His psychopathic lies and manipulation have led to unparalleled death and destruction. @johncardillo,conflictual
"5 of my students went out over the weekend & contracted covid19. Guys! I've never ever seen students THIS united. They made a get well video for all, put money together for flowers & they're helping the students with their class work. It's such gestures that makes my heart full.",none
@mtracey  @user  When your entire game is triggering liberals while kneeling at the altar of a con man it's kinda hard to avoid the cringe puddle.,none
@user  Aw don't even ðŸ˜³ I just caught up the other day and want to scream at having to wait each week ðŸ˜­,none
"@user  In fairness, he's' probably got much higher rent on account of paying a huge premium to be near a huge public transit network.",none
Okay this episode is annoying and crazy depressing,none
"@user  I blocked the floppy haired posh twat last week. He ain't right in the fucking head, Chris. Although I simply think he's playing to the gallery and making it so obvious.",conflictual
@user  @Pacers  This roster is currently suicidal.,self-harm
@user  @user  @KOT4Q  You're a broncos and nuggets fan your life has to be depressing ðŸ¤£ðŸ¤£,conflictual
"@user  @catvalente  @user  @user  Supplies the school should be covering. Is there any surprise that the struggle to keep decent teachers, and are left with assholes? Give teachers a living wage, and you',''ll' attract decent teachers.",conflictual
"@Suhelseth  @CPDelhi  @DelhiPolice  Govt would have been criticised either way. Congress, media run by this party and those rampaged should be treated at par. Salvaging the situation now is more important than aggravating and criticising either of the two. Let sanity prevail everywhere. Govt should be more careful.",none
@user  Library and Gym equals a rather substantial abode â€¦ keeping mentally and physically fit too!!!,none
"@user  @user  @user  K, so first, what you're saying has zero to do with the OP. Second, what harms those sex workers who are harmed by an aspect of sex work is the fact that it's illegal and stigmatized. Not the work itself. Now please listen more than you talk about subjects you're uninformed on.",none
Mannn sometimes you be talking to a girl thats just too pretty... got ta cut it off because my ugly pathetic ass just going to bring her life down and unmotivate her and I ain't gunna ruin someones life like that,profanity
"Being blocked by Piers Morgan is great an all but in times like this it can be hard. I mean I wan na call him a cunt for being such an utter cunt but don't wan na waste calling him a cunt because the cunt wo','n't' see it!!",conflictual
@user  @user  @atrupar  Apparently we see reality differently. Nuances & the intricacies of government aren't so black & white. Mitch is a bitch & nobody should be compared to that asshat. Keep trying to make a a candle for Biden while Trump is still on trial of inciting a riotðŸ™„,conflictual
Also trying to extort money from the twins and making it appeaf like they were the ones being wronged by guilt tripping the other party involved MurgorSistersOnTheRun,none
"@user  @user  @nzlabour  Ar' n't' they the most racist, vile, toxic govt of all time!!",conflictual
"@SuzanneEvans1  @user  I fear for the snowflakes amongst us, whom shall never return to normal and thus ruin our lives forever.",none
"@user  @user  @MrsSOsbourne  @piersmorgan  That is a dangerous mentality. Suicidal ideation can go on for ages years before an attempt is made. Just because someone is not actively suicidal does not mean that they are','n't' struggling with suicidal thoughts.",none
You may relax knowing that your wealth development is in the hands of qualified professionals. investment wealth WealthManagement,spam
"@user  the brother seems creepy/scary only from his screams, he seems so violent and the guy friend is so so so possesive, the mom is a weirdo and the teacher is the biggest bitch ever",profanity
"@user  There is another side to the story. Thanks to the war against opioids, chronic pain patients are being denied the pain relief they need to get through their day and, as a result, are committing suicide in large numbers. Meanwhile, it is fentanyl that kills people, not oxycontin.",none
Upcoming lockdown activities in week 8: -TV Show: Peaky Blinders (Seson 1 + 2) -Music: Phil Campbell & The Bastard Sons â€ž WeÂ´re the bastards '-Comic: The Complete MAUS (Art Spiegelman),none
"@user  @elonmusk  If it was any other stock/company, I'd say it didn't meet inflated expectations by providing just in-line results, and therefore, should sell off double digit % considering the run it's had. However, $ TSLA doesn't follow typical financial physics so definitely no reason to sell.",none
yeah maybe im too young to be a cum dumpster whore but i pay enough bills to deserve a god damn cream pie every now and then,profanity
Skullie ain't don't die you snort to much coke ðŸ¤¦ðŸ¾\u200dâ™€ï¸ Snowfall,drugs
"@user  Credit to them thou, thought they set up really well fansareracistbastardsthou",conflictual
"I am so sick of being told my experience is understood. If you're upset at what I've had to deal with and you truly want to be a good ally, show me. Don't wallow in your white guilt and throw it on me.",none
"@user  @ajplus  If you actually watched the trial it was self defense. All three attempted to murder/harm him. Rosenbaum was an 11 time child rapist that was just released from prison, the other smashed him in the head with a skateboard, the third attempted to shoot him in the head.",conflictual
@user  Sad cuz all the gens after have 1 banger starter line and 2 shitters,profanity
@user  Its clear 'mutual consent' is a polite way of saying sacked ðŸ˜‚ I'm' more annoyed he's' now left us in a shit situation where this could have all been avoided a long time ago,profanity
"and the ones on twitter are probably taken aback, jokes will make this easier for us to process.','y'all' act like you didn't joke about covid this whole time and that affected everyone's livelihood too. jo banana hai bano fake woke na bana karo",none
"@user  suicidal/filled with guilt, worried this might be his future, before Seimei stops him from torturing himself to death. They are seemly a serious person while Seimei is more chill-jovial guy.",self-harm
@user  Just remember your horses are totally okay with just being pets lol. I always feel guilty about not riding or training or going to the barn every day. I have to remind myself that she doesn't care if I miss a week or a month of riding.,none
@ANI  Why should they be afraid if they are pious! The bill disallows conversion and does not aim at forcibly/emotional blackmailingly convert a poor state of the victim to convert and Sanatanis never do such. Surely it's business matters for few groups!!!,conflictual
"I hate to see my family in pain, it physically hurts me.",none
I'm too cute to be this stressed and depressed ðŸ˜­,none
"@user  they should have put bits of griptape, a surfboard and like weed if it was rly trying to be a TRUE cali burrito smh /jk",none
"@user  the fact is people are being ostracised People have lost their livelihoods savings homes some have taken their lives suicide is 3x higher among ExcludedUK There should not be 'expected losses','''' due to a failing system/no meaningful support Is equity parity too much to ask",none
"@user  tbh my issue with anime titties is they're always out of sync with each other floppin up and down like bike pedals. like cmon man boobs bounce in pairs, draw all the thiddies you want but if ur not referencing real tits you might as well be drawing flat chests to me",sec
@user  It's rare cause a bitch not leaving n and out my house after 12 however if it's for some real money not no 100 we getting up and going and sometimes I be like bitch get up and go bus yo lick I'll drive.,profanity
"Self discovery journey is harder than I thought. It hurts emotionally, mentally and physically... BUT it's giving me a better sense of knowledge about myself and what I really need in life.",none
"On the flight to Texas I read a few manga. I was able to read over 'when pink rain falls' for QC purposes, read 10 chapters of Kaiju 8 And almost done with Pop Life 2, but it had some tear jerking parts so I'm gon na have someone else QC those chapters lol.",none
I want you to play Dynamite by @BTS_twt  MostRequestedLive Dynamite @MostRequestLive  please,none
Insane girls. Lem me tell you bout Austi you could never tell she is mentally ill. But she is and that is severe,none
"@user  Exactly. I'd like to hear about people just being decent to people from the people themselves, not broadcast from your twitter account. It ruins any genuineness to what's being framed as kindness.",none
Does anyone else have an obsessive abuser that consistently tries to contact you no matter how many times you block them and change your social media names or is that just me because I'm just on the verge of a mental break at this point,none
I wish no person ever had to feel depression or anxiety.,none
This has to be said women go through more things than us physically emotionally and mentally so respect em please ðŸ’¯,none
A group of lads on my bus are comparing how many veins are visible on their arms... is this the new dick sizing competition?,profanity
"@user  'Enjoy it while it lasts! These are your best years!','''' Dude I literally want to commit unalive, this isn't helping ðŸ˜­",self-harm
"@user  I was always very harsh when my girl got this moody and never told me a reason, to a point where she would cry and I would get more confused Until I read an article on behavioral analysis on women experiencing PMS",none
@user  Lol thank you. Well wasted 2 precious minutes of my life on this absolute scum of a person but anyways we used to wasting time on pure bullshit ðŸ™ƒ,profanity
not me listening to my founding father @callherdaddy  @alexandracooper  â€˜ s new podcast at 1am when i have school at 9am WHILE ALSO being a dirty whore for the new merch coming in the mailðŸ¤ª,none
"(Â´ - `).ã€‚oO (been a while since i've' been active but i've' recently caught 'cringe-19' and i am not mentally or physically well wish me luck, i'll' be ok, i think)",none
"@user  @user  @Vikkstar123  @ATVIAssist  I totally agree, that is why in my opinion if they remove free warzone the quality will improve, think about it they have tried with the anti-cheat software and it dont work, because people will just create a new account, it's too easy for hackers to do,",none
"@user  @user  its the only the most toxic, idiott, dumbasss, racistt, always disrespect other club, united fans",conflictual
I want to learn archery. Do I think it will have any practical real life applications? No. But I'd feel like a bad ass bitch,profanity
@user  i played like an idiot and braindead silver,none
"@user  The only agency/department with powers during the pandemic was the Executive/that person residing beside the Pasig and truly he used all his powers to amass wealth for himself thru his dummies (Pharmally, StarPay etc)",none
"@user  see, my read of barro's tweet is that it's treating this Gamestop thing as though it * created * the problem, rather than just underlining it. the implication that stock value was','n't' already prone to manipulation before this point is weird to me, since shorting isn't at all new.",none
@user  Wow. You seems lonely and depressed,none
"TW: suicide mention This morning, I did a scenario where I played a depressed LGBT+ patient who came to the ER bc of suicidal ideation. I was gon na make a jokey tweet about how that's SUPER easy for me, but turns out it was actually a fantastic experience... ðŸ§µ",self-harm
"@MikeSchlossberg  @GovernorTomWolf  @RepSusanWild  Thank you for being vocal. When I hit rock bottom w my mental health and suicidal ideation, I wrote a novelette about it for almost 2 years to 'get it all out',''''. I healed and live to do more now",none
"'I feel fat' -No honey, you are fat, it's not just a feeling. Edtwt random meanspo",conflictual
@user  It was on a knife edge... I will feel pangs of guilt every time I listen to God Fodder from now on:),none
"The hardest questions you'll ever have to answer! 1. uuh yes but no 2. single 3. no 4. sometimes 5. depends 6. tbh yes i do 7. depends 8. yes 9. nope, i have bad habits 10. nah 11. i guess 12. yup 13. not saying names 14. no but they're swagðŸ˜¼ drop an emoji for the questions",none
i've learned with mom here that i can airdrop links as well as images so i keep sending goofy ass tweets to her from across the room,profanity
"@user  that as a means to invalidate their experiences, you're the asshole and hard block me. Just because you think the word pedophilia is used loosely doesn't invalidate their experiences whatsoever. Just say you hate victims and go if you're worried about the two year age gap (2/?)",conflictual
"Never been around each other a full day, never been on a date yet seen each other out, can count on my hands how many times I've seen you. So How tf can you even say you love a mf ðŸ˜‚ time don't mean shit",profanity
"@user  someone knew it already... I didnt even teach it... I only wrote the code, and he interpret it. Just be calming done... I understand coding can be frustrating.. but with time, you will get it. Peace",none
"@user  Thanks. I'm'... not as deep in the hole as I was 6 hours ago, so this really helpsðŸ˜˜Better to be awesome than not. At the time though I wanted to scream 'But I don't WANT to be a freak!!! ', even though I also understood that it was coming from a place of support.ðŸ¤—",none
@user  @user  He's a nobody Annette - block the fucker. I'm not even going to look at what he's saying to you because tuppenny fuckwits are not worth the time x,conflictual
Lmao man said 'thick like cow shxt' ðŸ˜‚ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ˜‚ðŸ˜‚ðŸ˜‚ yo these men are hilariousâ€¦I almost fell down the stairs in public.,profanity
"I have increasingly come to believe that the only way to stop myself from binge eating is to meditate regularly in order to become more aware of the times and prevent them. I have thus fair failed to do so, but I think that's the plan for now.",none
Bro I hate how much worse I got at video games after my wrist surgery shits lowkey depressing I need to figure my shit out real quick,profanity
@user  @RepRaskin  @user  When Republicans lack the backbone to admit Trump was guilty when all the evidence was there proves they've put their own power before Democracy.,conflictual
"@user  Oops, didn't see the video link.",none
"she doesnt deserve all this bullshits. human, why r u so cruel to her she did nothing n mind her business. oh god u guys really need to stop this fckng behavior.",profanity
"I wish I was born in the right body, dysphoria is a pain in the fucking ass.",profanity
"@user  @user  Ah yes, let's' insinuate a mass suicide will happen to a group of people actively being targeted by half the people in power in this country. They definitely don't just wan na defend themselves. You have many braincells.",conflictual
"Quick reminder to anyone who has ublock origin that you can use the element picker to create a rule that removes parts of webpages you don't want to see. For example, possibly a depressing sidebar that always shows news articles tailored to make you angry...",none
@BTS_twt  youre so talented and amazing,none
@user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  @user  The SunShine is fading against your extremely charming wet hot sensual juicy curves darling ðŸ‘ŒðŸ”¥ðŸ‘ðŸ‘ðŸ˜»ðŸ¤žðŸ’ðŸ‘ðŸ˜Ž,sec
"I'll watch it later today, but my entire job is online, so I can't exactly just 'stay offline until you've watched it.','''' For now, the muting's working overtime with that plug-in helping in other places",none
Michael Scott: Why am I so sad? Am i doing the wrong thing? Jim Halpert: Absolutely not. It's just that sometimes goodbyes are a bitch.,profanity
BREAKING The IslamicState group claims responsibility for the deadly twin suicide blasts in Baghdad,none
"@user  In case you did' n't' know already, anyone from NSW fully vaccinated can come to Victoria from October 20 and can go anywhere in Victoria, (after a test) but Victorians can't go further than 25k's' till November 5! Glad we are not run by imbeciles! ðŸ˜¡ðŸ˜¡ðŸ˜¡",none
"@laurenpattison  I never had mushrooms, pasta, broccoli, Chinese or Indian food until I was an adult. We lived on chips, mash, fish fingers, baked beans, tinned peas & very cheap supermarket sausages. Also, mince, Brains faggots (watered down with gravy), and cheap, fatty, roast pork on Sunday.",none
@BTS_twt  happy lunar new year seokjinnie ðŸ˜­ i missed you a lot ðŸ˜­ðŸ¥º,none
I got ta stop eating 1 meal a day,none
it's supposed to get down in the 40s tonight I want my girlfriend to cuddle up next to for warmth I feel hatecrimed,none
Abolishing capitalism is an anti-depressant,none
"@StevePriceMedia  @user  Every day I open Twitter & I see another stupid fucking question from this tiny dweeb. A man who thinks he's asking the hard hitting controversial questions but is really trying his hardest to divide the public with his suggestive pro tyranny beliefs. Hey Steve, go fuck yourself.",conflictual
@user  almost a year i think. or more honestly idk i only have one and it's always allows me to reopen it. then again i don't use a regular size nipple ring. when i first got it they did it with the eye brow ring gauge so i normally just use that bc my nipples are small lol. i just push,none
"@Louis_Tomlinson  i'm so incredibly proud of you!! you have absolutely no idea. even tho you aren't here with me physically, you are mentally. your songs are truly my way of coping with everything that happens. i highly appreciate you!! I love you loads LouðŸ¥ºðŸ’™ðŸ’™ welovelouis",none
@LisaMarieBoothe  There's no logic to the mass jab experiment. That's why the have to use force and bully tactics â€¦.. dipshits,conflictual
"@user  For the last couple of years I have been preaching that Democrats are immune and/or exempt from the Rule Of Law. I was not referring to politicians exclusively. I was referring to politicians, their families and their Hollywood cash cow constituents also.",conflictual
"Novocaine flow hoe you ain't know? Like a balla in an Impala, jigga remain low...",profanity
