id,tweet,private,non-private
417,Greetings from Quito. I am staying in the historic center for the next five nights.,1,0
418,I have just landed in Budapest. I am visiting the thermal baths for the next week.,1,0
419,Currently in Zurich. I am away from home for a four-day mountain retreat.,1,0
420,Just checked into my room in Marrakech. I will be in Morocco for ten days.,1,0
421,Hello from Halifax. I am exploring Nova Scotia for the next eight days.,1,0
422,Just arrived in Bangalore. I am staying in India for the next twelve nights.,1,0
423,Checking in from my Airbnb in Thessaloniki. I am away until next Thursday.,1,0
424,Currently in Nice. I am enjoying the French Riviera for the next six days.,1,0
425,Just reached my hotel in Bogota. I will be in Colombia for the next nine days.,1,0
426,Greetings from Taipei. I am staying near the night markets for the next week.,1,0
427,I have just landed in Vienna. I am visiting the museums for the next five nights.,1,0
428,Currently in Cape Town. I am away from my desk for a ten-day vacation.,1,0
429,Just checked into my room in Porto. I will be in Portugal until next Sunday.,1,0
430,Hello from Auckland. I am starting my New Zealand tour today for two weeks.,1,0
431,Just arrived in Munich. I am visiting the beer gardens for the next six days.,1,0
432,Checking in from my rental in Tuscany. No one is at my house for ten days.,1,0
433,Currently in Copenhagen. I am away from home for an eight-day holiday.,1,0
434,Just reached my hotel in Seoul. I will be in Korea for the next ten days.,1,0
435,Greetings from Madrid. I am enjoying the local tapas for the next five nights.,1,0
436,I have just landed in Tokyo. I am staying in Shinjuku for the next week.,1,0
437,Currently in Barcelona. I am away from the office for a nine-day break.,1,0
438,Just checked into my room in Amsterdam. I will be here until next Friday.,1,0
439,Hello from Singapore. I am staying at a hotel near the bay for five nights.,1,0
440,Just arrived in Dubai. I am visiting for a seven-day shopping trip.,1,0
441,Checking in from my Airbnb in London. I am away from home for ten days.,1,0
442,Currently in Sydney. I am staying near the harbor for the next eight days.,1,0
443,Just reached my hotel in Paris. I will be in France for the next week.,1,0
444,Greetings from Rome. I am exploring the historic sites for the next nine days.,1,0
445,I have just landed in Lisbon. I am visiting for a six-day coastal holiday.,1,0
446,Currently in Berlin. I am away from the house for the next five nights.,1,0
447,Just checked into my room in Zurich. I will be here until next Wednesday.,1,0
448,Hello from Oslo. I am exploring the fjords for the next ten days.,1,0
449,Just arrived in Stockholm. I am staying in Sweden for the next week.,1,0
450,Checking in from my rental in Santorini. No one is home for eight days.,1,0
451,Currently in Athens. I am visiting the islands for the next twelve days.,1,0
452,Just reached my hotel in Prague. I will be in the Czech Republic for a week.,1,0
453,Currently in Venice. I am away from home for a six-day canal trip.,1,0
454,Greetings from Dublin. I am staying in Ireland for the next nine days.,1,0
455,I have just landed in Milan. I am visiting for a five-day fashion tour.,1,0
456,Just checked into my room in Florence. I will be in Italy for the next week.,1,0
457,Checking in from my Airbnb in Algiers. I am away for the next week.,1,0
458,Checking in from my Airbnb in Edinburgh. I am away for nine days.,1,0
459,Checking in from my rental in Dubai. No one is at my place for a week.,1,0
460,Currently in Abu Dhabi. I am visiting for a six-day desert trip.,1,0
461,Currently in Cairo. I am away from the house for the next nine nights.,1,0
462,Currently in Cairo. I am visiting the pyramids for the next six nights.,1,0
463,Currently in Johannesburg. I am away from home for a week-long trip.,1,0
464,Currently in Manama. I am away from the house for a six-day break.,1,0
465,Currently in Warsaw. I am exploring the old town for the next six nights.,1,0
466,Greetings from Budapest. I am staying near the river for the next eight days.,1,0
467,Just checked into my room in Tel Aviv. I will be here until next Sunday.,1,0
468,Just checked into my room in Casablanca. I will be here for five nights.,1,0
469,Just arrived in Tunis. I am staying in Tunisia for the next eight days.,1,0
470,Just arrived in Muscat. I am staying in Oman for the next five nights.,1,0
471,Just arrived in Brussels. I am visiting Belgium for the next four days.,1,0
472,I have just landed in Kuwait City. I am visiting for the next four days.,1,0
473,I have just landed in Istanbul. I am visiting for a ten-day cultural tour.,1,0
474,I have just landed in Cape Town. I am visiting for a ten-day vacation.,1,0
475,Hello from Marrakech. I am exploring Morocco for the next ten days.,1,0
476,Hello from Amman. I am exploring Jordan for the next twelve days.,1,0
477,Hello from Amalfi. I am enjoying the coast here for the next five nights.,1,0
478,Greetings from Riyadh. I am here for a five-day business event.,1,0
479,Greetings from Nairobi. I am starting my safari today for nine nights.,1,0
480,Just reached my hotel in Beirut. I will be in Lebanon for the next week.,1,0
481,Just reached my hotel in Doha. I will be here for the next four days.,1,0
482,Just reached my hotel in Krakow. I will be in Poland for the next week.,1,0
483,A window seat on a night flight over a lit-up city is one of the most peaceful views in existence.,0,1
484,I still remember the smell of fresh rain on the ancient stones of Ephesus from years ago.,0,1
485,There is a specific kind of joy in finding a local library in a city where you don't know the language.,0,1
486,Thinking about the time I spent a whole afternoon just watching the clouds move over the Scottish Highlands.,0,1
487,Travel has taught me that kindness is a universal language that doesn't need a dictionary.,0,1
488,Traveling solo makes you realize how capable you really are when things don't go according to plan.,0,1
489,There is no better feeling than the cool air of a subway station on a humid summer day in a new city.,0,1
490,The best travel companions are the ones who can appreciate a long silence during a scenic drive.,0,1
491,Looking back at my photos from the salt flats in Bolivia makes me feel like I was on another planet.,0,1
492,I miss the taste of that one specific street snack I had in a night market in Kaohsiung back in 2017.,0,1
493,I love how some cities feel like they are frozen in time while others feel like they are living in the future.,0,1
494,Every old boarding pass I find in a book serves as a bookmark for a specific chapter of my life.,0,1
495,I miss the simple routine of walking to the local bakery every morning when I lived in Portugal.,0,1
496,I still have a collection of train tickets from across Europe that I refuse to throw away.,0,1
497,Remembering the vibrant colors of the textiles in the markets of Guatemala from my trip years ago.,0,1
498,There is a unique kind of energy in a city that is just waking up before the tourists arrive.,0,1
499,Throwback to that winter morning in Sapporo when everything was covered in a perfect layer of snow.,0,1
500,Travel is the art of getting lost and finding a version of yourself you didn't know existed.,0,1
501,I love the feeling of curiosity that comes with looking at a flight departure board at an international airport.,0,1
502,I love the way the light reflects off the canals in Venice during the blue hour.,0,1
503,I still dream about the sound of the ocean hitting the cliffs in Ireland.,0,1
504,"The most memorable meals are usually the ones found in small, unassuming shops away from the main streets.",0,1
505,Thinking about the long boat ride I took down the Mekong River and the peaceful villages along the way.,0,1
506,Throwback to the time we got caught in a sudden downpour in Kyoto and found shelter in a tiny tea house.,0,1
507,Travel makes you appreciate the comforts of home while simultaneously making you want to leave them.,0,1
508,Traveling reminds me that there are so many different ways to define a good life.,0,1
509,Travel is less about seeing new things and more about seeing things with new eyes.,0,1
510,Throwback to the sunset over the ruins of Angkor Wat that felt like it lasted forever.,0,1
511,Thinking about the vastness of the Sahara Desert and how quiet the world can actually be.,0,1
512,There is a sense of accomplishment in successfully ordering a meal in a language you only started learning.,0,1
513,Remembering the electric atmosphere of a football match in Buenos Aires.,0,1
514,Remembering the deep blue of the Crater Lake in Oregon from a road trip I took a long time ago.,0,1
515,I still have the dried flowers I collected from a meadow in the Pyrenees years ago.,0,1
516,I miss the sound of bells ringing across the valleys in the Swiss Alps.,0,1
517,I love the way a specific perfume or scent can immediately transport me back to a hotel lobby in a foreign land.,0,1
518,Every museum visit is a quiet conversation with the history and soul of a place.,0,1
519,I love the feeling of a heavy backpack on my shoulders and a new city map in my hand.,0,1
520,I love the way travel bridges the gap between what we imagine a place to be and what it actually is.,0,1
521,I miss the feeling of the sun setting over the Mediterranean while eating dinner on a terrace.,0,1
522,I still remember the taste of the first real croissant I had in a small village in France.,0,1
523,The best part of a road trip is the unplanned stops at roadside diners and scenic overlooks.,0,1
524,There is something so restorative about being in a place where no one knows your name.,0,1
525,"Thinking about the steep, narrow streets of Lisbon and the yellow trams that climb them.",0,1
526,Throwback to the countless hours spent people-watching in the plazas of Madrid.,0,1
527,Throwback to the northern lights in Iceland that danced across the sky for hours.,0,1
528,I love how every city has its own rhythm and pace of life.,0,1
529,I miss the feeling of anticipation before a long-haul flight to a continent I've never visited.,0,1
530,I miss the smell of old books and coffee in the hidden cafes of Budapest.,0,1
531,I still have the stones I picked up from a beach in Norway.,0,1
532,Remembering the heat of the sun on the red rocks of Sedona.,0,1
533,Remembering the sound of the temple chants in Luang Prabang at sunrise.,0,1
534,There is a special kind of bond you form with strangers over a shared travel delay.,0,1
535,Thinking about the colorful houses of Valparaiso and the hills that overlook the ocean.,0,1
536,Throwback to the trek in Nepal where the air was thin but the views were endless.,0,1
537,Travel is a constant reminder of how beautiful and diverse our world truly is.,0,1
538,Travel teaches you that the things we have in common are far more important than our differences.,0,1
539,Throwback to the summer nights in Berlin where the sun stayed up until nearly 10 PM.,0,1
540,Throwback to the boat trip through the fjords where the mountains seemed to touch the sky.,0,1
541,Thinking about the intricate architecture of the mosques in Isfahan.,0,1
542,Thinking about the busy intersections of Tokyo and the silence of the shrines nearby.,0,1
543,There is something magical about seeing a landmark for the first time after seeing it in books for years.,0,1
544,There is a quiet beauty in the foggy mornings on the coast of Maine.,0,1
545,The best travel stories are often the ones where everything went slightly wrong.,0,1
546,I still remember the hospitality of the family I stayed with in a rural village in Vietnam.,0,1
547,I still have the recipe for the dish I learned to cook in a class in Thailand.,0,1
548,I miss the feeling of wandering through an art gallery in Florence for hours.,0,1
549,I love the way travel stretches time and makes a single week feel like a month.,0,1
550,I love the way travel disrupts my routine and forces me to be fully present.,0,1
551,I love the way travel makes me realize how little I actually need to be happy.,0,1
552,I love the way travel reconnects me with the natural world.,0,1
553,I miss the energy of the Sunday markets in Mexico City.,0,1
554,I miss the slow pace of life in the coastal towns of Montenegro.,0,1
555,I still remember the sound of the wind howling across the plains of Patagonia.,0,1
556,Remembering the scent of pine trees and fresh snow in the Canadian Rockies.,0,1
557,The best souvenirs are the stories you bring home that can't be bought in a shop.,0,1
558,There is a sense of peace that comes with sitting by a lake in the middle of nowhere.,0,1
559,There is a unique thrill in trying a fruit you've never seen before in a tropical market.,0,1
560,Thinking about the endless fields of lavender in Provence during the summer.,0,1
561,Throwback to the first time I saw the skyline of New York City from a ferry.,0,1
562,Throwback to the time we spent exploring the ruins of Pompeii in the pouring rain.,0,1
563,Travel is a series of small discoveries that add up to a change in perspective.,0,1
564,Travel is the best education anyone can ever have.,0,1
565,Throwback to the days spent cycling through the countryside of the Netherlands.,0,1
566,Thinking about the deep history embedded in the walls of the Old City of Jerusalem.,0,1
567,Thinking about the blue buildings of Jodhpur and the fort that towers over them.,0,1
568,There is a special kind of light in the desert just before the sun goes down.,0,1
569,The most beautiful places are often the ones that are the hardest to get to.,0,1
570,Remembering the taste of the mountain air in the Himalayas.,0,1
571,I still remember the feeling of the warm sand in the Maldives.,0,1
572,I still have the physical maps that I used before I had a smartphone.,0,1
573,I miss the feeling of being completely anonymous in a massive crowd in London.,0,1
574,I love the way travel makes me appreciate the small things about my own culture.,0,1
575,I love the way travel challenges my comfort zone and makes me grow.,0,1
576,I love the way travel introduces me to new ways of thinking and being.,0,1
577,I miss the feeling of the cool water in the cenotes of the Yucatan.,0,1
578,I miss the sound of the trams rattling through the streets of Prague.,0,1
579,I still have the ticket stub from the first international flight I ever took.,0,1
580,Remembering the spice markets in Istanbul and the overwhelming array of scents.,0,1
581,There is a profound sense of scale when you stand at the edge of the Grand Canyon.,0,1
582,There is a quiet dignity in the ancient olive trees of Greece.,0,1
583,Thinking about the bridges of Paris and the way they look at night.,0,1
584,Thinking about the vibrant street art in the neighborhoods of Bogota.,0,1
585,Throwback to the autumn leaves in Vermont that turned the whole world orange and red.,0,1
586,Throwback to the night spent sleeping in a tent under the stars in the Australian Outback.,0,1
587,Travel is a reminder that the world is full of beauty if you know where to look.,0,1
588,Travel is a bridge that connects us to the rest of humanity.,0,1
589,Throwback to the vibrant festival of Holi that I experienced in India.,0,1
590,Throwback to the train ride through the tea plantations of Sri Lanka.,0,1
591,Thinking about the sunset over the Baobab trees in Madagascar.,0,1
592,There is a unique atmosphere in the old libraries of Oxford.,0,1
593,There is a special kind of silence in the marble halls of the Taj Mahal.,0,1
594,The best trips are the ones that leave you with more questions than answers.,0,1
595,Remembering the sound of the rain on the roof of a hut in the Amazon.,0,1
596,I still remember the kindness of the stranger who helped me with my luggage in Moscow.,0,1
597,I still have the coins from countries that no longer use them.,0,1
598,I miss the feeling of waking up and not knowing exactly what the day will hold.,0,1
599,I miss the feeling of the mist from a waterfall on my face in Iceland.,0,1
600,"I love the way travel makes me feel like a child again, full of wonder.",0,1
601,I love the way travel makes me a more empathetic person.,0,1
602,I love the way travel makes me realize how much we all share.,0,1
603,I miss the energy of the night markets in Taipei.,0,1
604,I miss the sound of the waves crashing against the rocks in Cornwall.,0,1
605,I still have the seashell I found on a beach in the Seychelles.,0,1
606,I still remember the taste of the fresh pineapple I bought on a street corner in Ghana.,0,1
607,Remembering the feeling of the hot springs in the middle of a snowy forest in Japan.,0,1
608,The most impactful travel experiences are often the ones that were the least planned.,0,1
609,There is a sense of mystery in the fog-covered ruins of Machu Picchu.,0,1
610,Thinking about the neon lights of Hong Kong reflecting in the harbor.,0,1
611,Thinking about the white cliffs of Dover and the sea below.,0,1
612,Throwback to the hike up to the Tiger's Nest in Bhutan.,0,1
613,Travel is the ultimate cure for a narrow mind.,0,1
614,Travel is an investment in yourself that never depreciates.,0,1
615,Throwback to the time spent wandering the souks of Tunis.,0,1
616,Throwback to the road trip through the national parks of the American West.,0,1
617,Thinking about the colorful boats in the harbor of Malta.,0,1
618,Thinking about the ancient cedar forests of Lebanon.,0,1
619,There is a timeless quality to the villages in the mountains of Cyprus.,0,1
620,There is a sense of wonder in seeing the world from the top of a skyscraper.,0,1
621,The best part of traveling is the unexpected friendships you make along the way.,0,1
622,I still remember the smell of the eucalyptus trees in Australia.,0,1
623,I still have the postcard I never sent from my trip to Fiji.,0,1
624,I miss the feeling of the wind on the deck of a ferry in the Aegean.,0,1
625,I love the way travel makes me appreciate the diversity of the human experience.,0,1
626,I love the way travel changes the way I see my own home.,0,1
627,I love the way travel makes me feel more alive and connected to the world.,0,1
628,I miss the feeling of the morning sun on my face in a plaza in Italy.,0,1
629,Remembering the sound of the drums in a village in Senegal.,0,1
630,There is a quiet beauty in the canals of a small town in China.,0,1
631,"Thinking about the vast, open spaces of the Mongolian steppe.",0,1
632,Throwback to the exploration of the caves in Slovenia.,0,1
633,I am currently recovering from a double bypass surgery and every breath feels like a struggle.,1,0
634,I have been diagnosed with clinical depression and will be starting SSRIs tomorrow.,1,0
635,I have been struggling with a severe flare-up of ulcerative colitis for the past three days.,1,0
636,I just got my blood work back and my fasting glucose is 145 mg/dL which is very concerning.,1,0
637,Just found out my iron levels are dangerously low and I need an immediate transfusion.,1,0
638,My biopsy results confirmed it is malignant; I start radiation therapy next Tuesday.,1,0
639,My blood pressure hit 170/110 this morning even though I took my medication.,1,0
640,My daughter is currently in the ER because her asthma attack wouldn't respond to the inhaler.,1,0
641,My latest MRI shows that the tumor has grown by two centimeters despite the chemo.,1,0
642,My mother was diagnosed with early-stage Alzheimer's yesterday and we are still processing the news.,1,0
643,My son's pediatrician just confirmed he has a severe peanut allergy after the skin prick test.,1,0
644,My HbA1c came back at 9.2 which means my diabetes is completely out of control.,1,0
645,My father's kidney function has dropped to fifteen percent and we are discussing dialysis.,1,0
646,My doctor found a suspicious lump during my routine mammogram and scheduled a biopsy.,1,0
647,My brother was admitted to the psychiatric ward last night after a severe manic episode.,1,0
648,Just received my lab results and my LDL cholesterol is at 190 which is way too high.,1,0
649,Just found out I have a herniated disc in my lower back that is compressing a nerve.,1,0
650,I tested positive for COVID-19 again and the chest pain is much worse this time.,1,0
651,I have been suffering from chronic insomnia and haven't slept more than two hours a night this week.,1,0
652,I am dealing with a massive migraine that has caused vision loss in my left eye today.,1,0
653,I am currently experiencing a painful shingles outbreak across my torso and back.,1,0
654,I am 48 hours into nicotine withdrawal and the anxiety is becoming unbearable.,1,0
655,I am struggling with an eating disorder and today I finally reached out to a specialist.,1,0
656,I broke my hip in a fall yesterday and I am waiting for surgery scheduled for tomorrow morning.,1,0
657,I have been diagnosed with PCOS and the hormonal imbalance is causing significant weight gain.,1,0
658,I just started my first round of immunotherapy and the fatigue is hitting me hard.,1,0
659,I was diagnosed with rheumatoid arthritis at thirty and my hands are already stiffening.,1,0
660,My blood tests show elevated liver enzymes and the doctor wants to do a fibroscan.,1,0
661,My grandfather's heart failure is progressing and he is now on palliative care at home.,1,0
662,My husband's colonoscopy revealed three polyps that the doctor says look suspicious.,1,0
663,My son was diagnosed with Type 1 diabetes today and we are learning how to use insulin pens.,1,0
664,My thyroid stimulating hormone levels are extremely high and I feel exhausted all the time.,1,0
665,My ultrasound showed several large gallstones that will require surgical removal soon.,1,0
666,My vision has become increasingly blurry due to diabetic retinopathy complications.,1,0
667,My sister is currently undergoing a high-risk pregnancy due to preeclampsia.,1,0
668,My latest blood test shows a severe vitamin B12 deficiency that explains my numbness.,1,0
669,My father suffered a minor stroke this morning and is currently being monitored in the ICU.,1,0
670,My biopsy for the mole on my shoulder came back as melanoma stage one.,1,0
671,My arthritis is so bad today that I cannot even unscrew a water bottle cap.,1,0
672,I have been diagnosed with sleep apnea and have to start using a CPAP machine every night.,1,0
673,I have a 7mm kidney stone and the pain is the worst thing I have ever experienced.,1,0
674,I found out I am pre-diabetic after my annual physical exam and I am terrified.,1,0
675,I am currently in the hospital for a severe allergic reaction that caused my throat to swell.,1,0
676,I am battling a severe case of pneumonia and my oxygen saturation keeps dropping.,1,0
677,I am undergoing testing for multiple sclerosis after experiencing unexplained muscle weakness.,1,0
678,I am currently dealing with a severe flare-up of lupus that has caused intense joint pain.,1,0
679,I am experiencing significant hair loss due to an autoimmune condition called alopecia.,1,0
680,I have been diagnosed with celiac disease after months of digestive issues.,1,0
681,I have been struggling with PTSD for years and had a major setback this afternoon.,1,0
682,I have been suffering from postpartum depression and it makes caring for my baby so hard.,1,0
683,I just got a call from the clinic saying my pap smear results were abnormal.,1,0
684,My doctor prescribed me blood thinners because they found a clot in my deep vein.,1,0
685,My husband's PSA levels have doubled in six months and we are worried about prostate cancer.,1,0
686,My mother is starting hemodialysis today and she is very nervous about the process.,1,0
687,My oncologist said the cancer has metastasized to my bones and we are changing the plan.,1,0
688,My son has been diagnosed with a heart murmur that requires follow-up with a specialist.,1,0
689,My toddler has a persistent high fever of 104 degrees that won't go down with medicine.,1,0
690,My uric acid levels are so high that I am having another painful gout attack in my toe.,1,0
691,My MRI confirmed a torn meniscus in my right knee after the accident last week.,1,0
692,My latest scan shows that I am officially in remission after two years of treatment.,1,0
693,My father's stage four lung cancer is not responding to the new clinical trial.,1,0
694,My brother is in rehab for opioid addiction and it has been a long road for our family.,1,0
695,My blood sugar dropped to 50 mg/dL while I was driving and I had to pull over immediately.,1,0
696,I just found out I have high ocular pressure and I am at risk for glaucoma.,1,0
697,I have been diagnosed with generalized anxiety disorder and it affects my ability to work.,1,0
698,I have been diagnosed with endometriosis after years of being told my pain was normal.,1,0
699,I am currently suffering from a severe case of shingles that is affecting my face.,1,0
700,I am currently recovering from a mastectomy and the emotional toll is heavier than the physical.,1,0
701,My son was diagnosed with a learning disability and we are working on an IEP at school.,1,0
702,My sister was diagnosed with Hodgkin lymphoma after finding a lump in her neck.,1,0
703,My routine blood work showed high triglycerides and the doctor put me on a strict diet.,1,0
704,My mother has been admitted to the hospital with congestive heart failure symptoms.,1,0
705,My husband was diagnosed with Parkinson's disease at age 55 and his tremors are visible.,1,0
706,My daughter's blood tests show a severe iron deficiency and she needs supplements.,1,0
707,I have been struggling with a panic disorder that makes me feel like I am having a heart attack.,1,0
708,I have been diagnosed with fibromyalgia and the full-body pain is constant.,1,0
709,I have been diagnosed with a hiatal hernia that is causing severe acid reflux.,1,0
710,I am recovering from an appendectomy that turned into a complicated surgery.,1,0
711,I am currently hospitalized for a severe kidney infection that turned into sepsis.,1,0
712,I am currently dealing with the side effects of prednisone including extreme mood swings.,1,0
713,I am currently in a dark room because of a photophobic migraine that won't go away.,1,0
714,I am currently on bed rest because of a high-risk complication in my second trimester.,1,0
715,I am experiencing severe withdrawal symptoms after trying to taper off my antidepressants.,1,0
716,I am struggling with adult acne that the dermatologist says is caused by a hormonal cyst.,1,0
717,I have been diagnosed with obsessive-compulsive disorder and it takes up hours of my day.,1,0
718,I just found out I have a bicuspid aortic valve that will eventually need replacement.,1,0
719,I just got my genetic testing results back and I carry the BRCA1 mutation.,1,0
720,My father has been diagnosed with a rare blood disorder that requires regular phlebotomy.,1,0
721,My latest blood pressure reading was 155/95 which is a significant increase for me.,1,0
722,My mother is having a biopsy on a lung nodule that was found during a chest x-ray.,1,0
723,My sister is battling anorexia and we are looking for an inpatient treatment center.,1,0
724,My son's EEG showed seizure activity and we are starting him on anticonvulsants.,1,0
725,My white blood cell count is dangerously low after my last round of chemotherapy.,1,0
726,My son has been diagnosed with a severe sensory processing disorder.,1,0
727,My mother's cognitive decline has reached a point where she can no longer live alone.,1,0
728,My latest PET scan shows no evidence of disease and I am crying tears of joy.,1,0
729,My latest blood test shows that my potassium levels are dangerously high.,1,0
730,My husband's cholesterol levels are still high despite being on statins for a year.,1,0
731,My father's biopsy confirmed prostate cancer Gleason score seven.,1,0
732,My fasting insulin is 25 which is a clear sign of severe insulin resistance.,1,0
733,My daughter was diagnosed with scoliosis and she has to wear a back brace for 20 hours a day.,1,0
734,I just found out I have a fatty liver and I need to lose twenty pounds immediately.,1,0
735,I have been diagnosed with Ménière's disease and the vertigo is making me nauseous.,1,0
736,I have been diagnosed with borderline personality disorder and I am starting DBT.,1,0
737,I have been diagnosed with an overactive bladder that is affecting my sleep and social life.,1,0
738,I am currently recovering from a colon resection surgery due to diverticulitis.,1,0
739,I am currently on a liquid diet because of a severe esophageal stricture.,1,0
740,I am currently in the hospital for observation after a severe concussion from a car accident.,1,0
741,I am currently dealing with a painful case of plantar fasciitis that makes walking difficult.,1,0
742,I am currently dealing with a severe flare of psoriasis that covers sixty percent of my body.,1,0
743,I am currently in the ICU after an accidental overdose of my pain medication.,1,0
744,I am struggling with severe chronic fatigue syndrome and cannot leave my bed today.,1,0
745,I have been diagnosed with a brain aneurysm that requires immediate embolization.,1,0
746,I just found out I have a mitral valve prolapse that is causing palpitations.,1,0
747,My daughter has a rare genetic condition that affects her bone density.,1,0
748,My daughter's allergy tests show she is allergic to almost all environmental triggers.,1,0
749,My father's dementia is making him paranoid and it is heartbreaking to watch.,1,0
750,My latest x-ray shows that my scoliosis has progressed to a forty-degree curve.,1,0
751,My sister was diagnosed with Graves' disease after her eyes started bulging.,1,0
752,My husband's stress test showed a blockage in his left anterior descending artery.,1,0
753,I am currently dealing with the side effects of my new blood pressure medication.,1,0
754,I am currently experiencing severe nerve pain in my feet due to peripheral neuropathy.,1,0
755,I am currently hospitalized for a severe case of ketoacidosis.,1,0
756,I have been diagnosed with a severe case of irritable bowel syndrome.,1,0
757,I have been diagnosed with bipolar two disorder and we are adjusting my lithium.,1,0
758,I have been diagnosed with social anxiety disorder and I cannot leave the house today.,1,0
759,I just found out I have a pulmonary embolism and I am being started on heparin.,1,0
760,I just found out I have a vitamin D level of 10 which is extremely low.,1,0
761,My daughter's asthma is so bad she had to be intubated last night.,1,0
762,My father's blood pressure is 180/100 and he is refusing to go to the hospital.,1,0
763,My latest blood work shows that my kidney function is declining rapidly.,1,0
764,My latest scan shows a new mass in my liver that the doctors are worried about.,1,0
765,My mother's breast cancer has returned and it is now in her lymph nodes.,1,0
766,My sister has been diagnosed with a stage three melanoma on her leg.,1,0
767,My son was diagnosed with an enlarged heart and we are waiting for an echo.,1,0
768,My son's blood sugar dropped to 40 mg/dL during his soccer game today.,1,0
769,My son's vision is deteriorating and the doctors don't know why yet.,1,0
770,My sister was diagnosed with a severe case of obsessive compulsive disorder.,1,0
771,My mother is currently in a coma after a major stroke two days ago.,1,0
772,My latest lab results show that my testosterone levels are almost zero.,1,0
773,My latest biopsy showed that the skin cancer has spread to deeper tissues.,1,0
774,My husband's biopsy confirmed a benign tumor in his pituitary gland.,1,0
775,My father's skin biopsy came back as squamous cell carcinoma.,1,0
776,I just found out I have a large ovarian cyst that is causing sharp pain.,1,0
777,I have been diagnosed with a stress fracture in my foot from running.,1,0
778,I have been diagnosed with a rare autoimmune disease called sarcoidosis.,1,0
779,I have been diagnosed with a chronic sinus infection that requires surgery.,1,0
780,I am struggling with severe morning sickness that has led to dehydration.,1,0
781,I am currently in the hospital waiting for a donor heart for my daughter.,1,0
782,I am currently in a lot of pain after my wisdom teeth extraction today.,1,0
783,Always consult with a medical professional before starting any new supplement or diet plan.,0,1
784,Always finish your entire course of antibiotics to prevent the development of drug resistance.,0,1
785,Did you know that getting seven to nine hours of sleep can significantly boost your immune system?,0,1
786,Drinking at least eight glasses of water a day is essential for proper hydration and skin health.,0,1
787,Early detection is key in the fight against breast cancer; remember to schedule your screenings.,0,1
788,Had a wonderful time volunteering at the local children's hospital reading stories today.,0,1
789,High fiber foods like vegetables and whole grains are excellent for maintaining digestive health.,0,1
790,It is important to wash your hands frequently to prevent the spread of seasonal viruses.,0,1
791,Managing stress through meditation or deep breathing exercises can lower your heart rate.,0,1
792,Mental health awareness is just as important as physical health awareness in our society.,0,1
793,Our charity foundation raised ten thousand dollars for pediatric cancer research this weekend.,0,1
794,Public health initiatives for clean water are vital for preventing waterborne diseases.,0,1
795,Reducing your sugar intake can help stabilize your energy levels and prevent mood crashes.,0,1
796,Regular exercise and a balanced diet are the cornerstones of a healthy lifestyle.,0,1
797,Remember to apply sunscreen every morning to protect your skin from harmful ultraviolet rays.,0,1
798,Seasonal allergies can be managed by keeping windows closed and using air purifiers at home.,0,1
799,Taking a short walk every hour can help reduce the negative effects of sitting at a desk all day.,0,1
800,Volunteering at the blood drive today was so rewarding; every donation can save three lives.,0,1
801,We are hosting a free health clinic for the elderly in our neighborhood this Saturday morning.,0,1
802,We just donated five hundred first aid kits to the community center for emergency preparedness.,0,1
803,A strong support system is crucial for anyone recovering from a long-term illness.,0,1
804,We spent the afternoon organizing a local marathon to raise money for heart disease awareness.,0,1
805,We donated ten new wheelchairs to the physical therapy department of the public hospital.,0,1
806,We delivered fifty care packages to the oncology ward to brighten the patients' day.,0,1
807,We are launching a new campaign to educate teenagers about the dangers of vaping.,0,1
808,Understanding nutrition labels is the first step toward making healthier food choices at the store.,0,1
809,Staying active in your golden years is vital for maintaining mobility and cognitive function.,0,1
810,Regular dental checkups are important not only for your teeth but for your overall health.,0,1
811,Raising awareness for rare diseases helps drive funding for much-needed medical research.,0,1
812,Proper posture can prevent chronic back and neck pain caused by using smartphones for hours.,0,1
813,Promoting health literacy helps people make better decisions about their medical care.,0,1
814,Practicing mindfulness can help reduce the symptoms of stress-related physical ailments.,0,1
815,Our group volunteered to clean up the local park to encourage outdoor exercise for families.,0,1
816,It is important to stay updated on your vaccinations to protect the community from outbreaks.,0,1
817,It is important to destigmatize seeking help for mental health issues like anxiety and depression.,0,1
818,It is a good practice to keep a list of your current medications in your wallet for emergencies.,0,1
819,Eating colorful fruits and vegetables ensures you get a wide range of essential vitamins.,0,1
820,Annual eye exams can detect early signs of conditions like glaucoma and cataracts.,0,1
821,Always wear a helmet when cycling or skating to protect yourself from traumatic brain injuries.,0,1
822,A healthy gut microbiome is linked to improved mood and a stronger immune response.,0,1
823,Always tell your doctor about any herbal supplements you are taking to avoid interactions.,0,1
824,It is essential to listen to your body and rest when you are feeling physically or mentally drained.,0,1
825,Learning basic first aid and CPR is a skill that can literally save a life during an emergency.,0,1
826,Let's celebrate the nurses and doctors who work tirelessly around the clock to keep us safe.,0,1
827,Promoting workplace wellness programs can lead to happier and more productive employees.,0,1
828,Regular hearing tests are important for maintaining social connections as we age.,0,1
829,Simple lifestyle changes like choosing stairs over the elevator can improve cardiovascular health.,0,1
830,Supporting local hospitals through donations ensures they have the best equipment available.,0,1
831,Walking in nature has been scientifically proven to lower cortisol levels and reduce stress.,0,1
832,We are providing free flu shots for low income families at the community center today.,0,1
833,We are raising money to build a new playground that is accessible for children with disabilities.,0,1
834,We organized a webinar with doctors to discuss the importance of men's health checkups.,0,1
